OTUID	M	B	X	H	T	Y	J	D
OTU1	5	3	6	18	7	23	1	14
OTU2	54	46	47	48	48	59	57	38
OTU3	21	45	9	61	24	23	35	33
OTU4	0	0	0	0	0	0	0	0
OTU5	0	0	0	1	1	2	0	0
OTU6	1	0	0	0	0	2	1	0
OTU7	0	0	0	1	1	3	2	0
OTU8	0	0	0	1	0	0	0	0
OTU9	0	0	0	1	0	0	0	1
OTU10	9	8	5	5	7	3	6	6
OTU11	0	0	0	0	0	0	0	0
OTU12	0	0	1	0	0	0	1	0
OTU13	1	1	1	0	1	2	0	1
OTU14	5	3	5	3	6	4	8	2
OTU15	0	4	2	2	2	0	1	0
OTU16	2	0	4	0	4	1	5	3
OTU17	0	0	0	0	0	0	0	0
OTU18	0	0	0	2	3	0	0	0
OTU19	12	12	6	10	13	4	7	6
OTU20	0	0	0	0	0	0	0	0
OTU21	0	0	0	0	1	0	1	0
OTU22	0	0	0	0	0	0	0	0
OTU23	0	3	0	3	0	3	1	1
OTU24	0	0	1	0	0	0	0	0
OTU25	2	5	1	3	2	2	2	5
OTU26	0	1	2	0	1	1	1	1
OTU27	1	2	1	2	2	1	2	2
OTU28	2	1	0	4	0	2	1	2
OTU29	0	0	0	1	1	1	0	1
OTU30	12	18	20	36	14	28	20	27
OTU31	0	0	0	0	0	0	0	0
OTU32	4	0	3	2	1	2	4	1
OTU33	3	6	1	2	1	5	6	0
OTU34	1	0	0	2	0	0	0	1
OTU35	246	276	202	201	263	261	263	269
OTU36	0	0	3	0	2	2	0	0
OTU37	2	4	6	4	1	9	4	3
OTU38	0	0	0	0	0	3	0	0
OTU39	2	1	0	0	0	1	1	2
OTU40	1	0	1	1	0	0	0	0
OTU41	0	0	0	0	0	0	0	0
OTU42	5	8	15	4	4	12	8	7
OTU43	0	2	0	2	0	0	1	1
OTU44	0	0	0	1	0	0	1	1
OTU45	4	3	3	4	1	3	4	5
OTU46	167	937	550	240	31	214	164	140
OTU47	1	0	0	2	0	0	0	0
OTU48	0	0	0	0	0	0	0	0
OTU49	3	3	2	0	2	1	0	1
OTU50	1	0	0	0	2	0	0	0
OTU51	0	1	0	1	0	0	0	0
OTU52	0	3	0	6	0	2	0	0
OTU53	5	2	1	1	3	4	4	5
OTU54	9	9	3	10	6	4	10	12
